problem_id,algorithm_structure,family,evaluation_cases,unique_evaluation_inputs,max_input_bytes,baseline_max_input_bytes,statement_characters,baseline_statement_characters,prompt_pairs_stored,prompt_pairs_unique,first_prompt_characters,source_sha256,statement_sha256
IPOP_9012,stateful,IPOP_9012,13,13,6276,53,276,864,10,2,1864,67c618434792fd193bb827bca3346299532cc5350036ea05425e0456c4ee6e6b,c4087b50af613ada9861e0327aa48f53306cddf0537d3a7a44f3c9a962acbcc8
IPOP_9251,stateful,IPOP_9251,13,13,2002,1003,267,289,10,1,1787,9dc743f759f7ed1b27e3483b1231647e9da1d17b50762b40c76f9b47ec830be8,411b548f20a2a0dc597b3a4dbbd8cb623124135669c34a4e1b64a218d13bb6ca
IPOP_9663,recursive_or_combinatorial,IPOP_9663,13,13,3,3,266,200,10,1,1874,b32adf15fc9dd12a954955c3a2a09090852b3cc4818ce8c586af1ef6cbe67346,13a939ef6912e70a54e16a467653af9bc5a176c1300e866fc59b69d94a3724fa
IPOP_9935,stateful,IPOP_9935,13,13,1000004,44,362,649,10,2,2058,a42c2a69b014953ba77936d969fe2fdc1c62789f1e2705f7eaf5df1ffa197884,44e44bb3be40f80ca9e9cc71ba350b65265bd3966b5667b33b395e336fe71fea
LC_0001,stateful,LC_0001,13,13,48900,29,413,408,1,1,2060,272bd4556a0f863d658c4f5622fc60eefa4b29be4efeaf860f7e49b17b05a4a6,cd25072624fce625c56666eaa73fb54833483939cb121556270ab8eb72648808
LC_0121,linear_or_ordered,LC_0121,13,13,488916,14,373,366,1,1,1892,7e4938b00856ad29b77181cf2ab0fc086d83008758d3fa0b8c98f7732c75fec0,0fa5f2461b2aeb57f952a8adb82e386388d5908ec373ba061cd397407b33c4ef
LC_0217,linear_or_ordered,LC_0217,13,13,588897,25,332,321,1,1,1883,766413df25c1b0fcf6f114c4e27b9525f93718f84de7688210117e9360100e30,2216a8c04a46ee6f6f427a1334fd2172cdc979812e2be5170e4c876c7b1e3fb0
LC_0053,stateful,LC_0053,13,13,600007,17,324,327,1,1,1868,cee7d0ecb9347f018734ceafd78c3ea5eafa7020cd7b4b2b0290a7d785f44d9b,d48917f40434597be5aa3d33d3e3809cb4604ca801e363093bf5d21c6cacc89a
LC_0704,linear_or_ordered,binary_search,13,13,53901,21,382,379,1,1,1978,e275770f4c565d1279b753e7ff64b736ef65f4c5c6a7bc5f3600bede821d79f0,1fb2350dbfc3e54e20d1d76047c50621c1e3f686425ae037ccfce2794648ad05
LC_0035,linear_or_ordered,binary_search,13,13,53905,21,403,394,1,1,1962,a3be0205d4cea82c1734c31a9542f178ebcb65ae1fd64bf4080b1a6d8268c66a,53e858ec197a1bd86e3cc29c5654c1f1012a6b8dad0300383c7fd9571a380775
LC_0283,linear_or_ordered,LC_0283,13,13,67506,27,419,420,1,1,1948,9d62a480aa9de15eb75673041f0bcbfd1cd0b1da0d77d88e9e793bbedaaaba0b,f880a7113d1d9a9f05ec140acf74f5c47ffdaf58c1696ee8f5fbe2cccf4698d9
LC_0242,linear_or_ordered,string_frequency,13,13,100002,54,332,327,1,1,1907,9d525003eb3d6cd71d5876321914d04199ec1045883426c6dd17a68e07cae5f9,cffb87dc2a4c56e81a2e963bef43289c68929e00dddc7a1524bf234fa3a5c488
LC_0387,linear_or_ordered,string_frequency,13,13,100001,27,398,386,1,1,1965,24fa7cff90c697d7b465545d460b25c952b6b0db3a52d6f8b58f15d49b2ef00a,61b216d4b00df75fd76636a844dcdff1bb94a6b46270a5dbc4eaef12e422c4f6
LC_0003,stateful,sliding_window,13,13,100001,11,454,442,1,1,2121,42e87db1c069a6dd3732090646b68b7101e218353b35262106c81b78c2e6f915,e0b6b8bf56cceff122fca03ce1a4e0301e9ecd198c992788af94e4a62f51a91c
LC_0139,stateful,LC_0139,13,13,534,24,388,388,1,1,2099,afc1ed1c55d8ef0d350c02cf3e64aeaa3907ae226dd5d7ec0f0e2d93e3c07017,a3b2d96f1eb037fc3f6811d4f89cd095f32a79a2d51650d67c2658ab3485cd33
LC_0518,stateful,LC_0518,13,13,64,12,396,385,1,1,2024,81655077e2e11dc2755e23e8e1a96757f8aa76f0f2c8fe606a202bd4c76619e5,f0d3ceafc5f9b60b20fcfb9f98639a1fddd6a23d04926ec9aa71e1cd8de09d18
LC_0062,stateful,grid_dp,13,13,6,6,319,303,1,1,1822,3a97d3be60c176c76c1e9e482a658b904ae3cf1b34896a9edf644743bbfc0519,e8090cb3cd3ef06fb25ce26aad69fd4ba570bdbefaad39f7b269d0c2e9dcaaf6
LC_0063,stateful,grid_dp,13,13,20008,28,356,357,1,1,1990,8ef4aa20f1d4d763e1562e96485cbbd45835e0340ccd31711b8151c71bc3ea1e,188cd19f78472e8f21037f1407a312538bcd54e88a62957837da2927a1971cb6
LC_0064,stateful,grid_dp,13,13,138117,28,335,336,1,1,1985,152f87bfcc26ef6142d7f2858da46f8a5e1bfdf59bfbafa5c7abc0ad85e47c7b,7d7c8e9ac746a975af9b07b950ee75eb51cf36cd31fa836aae001540c54ce2b1
LC_0739,stateful,monotonic_stack,13,13,300007,20,337,356,1,1,2026,e828d88b5f5d1d96d6ad7e3f7162e3cc861c4e84ec4867d77478bc46cfce479a,fc1d8bfecc634f37568378f7b16cf42c2eef826192ee91ca7cfda26b42b5c03a
LC_0496,stateful,monotonic_stack,13,13,7790,20,407,410,1,1,2161,ac2e91833aa62623e8ced57adca9a205ce92295bbbdedf328788ee3f2b6a0ade,0d57a716bf3c4320fbefb12780e55d2b4c80e573ac95250252eb5d44361d6ba1
LC_0547,stateful,graph_reachability,13,13,80004,74,343,342,1,1,2161,b970e7d294406d129c86753656562949e1244ca8e6eeb7c9e8db165cbbf49916,a4cf611b9a7e8cc2b221a72df3bcb2f3c2bc6dff412863e31ec111b1116e600c
LC_0207,stateful,LC_0207,13,13,17790,28,389,376,1,1,2110,2d76c22dd671915d0342a8f6fdf2e1469886ab12ad7ea27a26f8a1e7682d06c3,365ff72fb94fbae8958010d8955634c5e67945afaaa95cadafbbb625d06deac9
LC_0338,linear_or_ordered,LC_0338,13,13,7,7,328,313,1,1,1816,2ca02bd668900535a527c02f4fd4d016bd5fe7f9d3f8354e6e49b9a05f073b05,949b4963efdf8c74efc16f40b7de39aa8b41cc4ce0fd41f95fde1b896c6c1c8b
LC_0912,linear_or_ordered,LC_0912,13,13,313901,23,339,334,1,1,2186,22d599a3f7e980cbde184969f48f23350f6161393240386ce34aa3e7b1432429,dbfe6cc3d891dd3b7c3a0d4d2e5ccc937bfbf1364453fdcc92de5202cfd98f0d
